value,column_name,cleaned_text,tokenized_text,POS tagged,Lemma
The online ordering process was seamless and easy to use.,Positive,online ordering process seamless easy use,"['online', 'ordering', 'process', 'seamless', 'easy', 'use']","[('online', 'a'), ('ordering', 'v'), ('process', 'n'), ('seamless', 'n'), ('easy', 'a'), ('use', 'n')]",  online order process seamless easy use
"The food arrived hot and fresh, and the delivery driver was friendly.",Positive,food arrived hot fresh delivery driver friendly,"['food', 'arrived', 'hot', 'fresh', 'delivery', 'driver', 'friendly']","[('food', 'n'), ('arrived', 'v'), ('hot', 'a'), ('fresh', 'a'), ('delivery', 'n'), ('driver', 'n'), ('friendly', 'r')]",  food arrive hot fresh delivery driver friendly
The restaurant had a great selection of dishes to choose from.,Positive,restaurant great selection dishes choose,"['restaurant', 'great', 'selection', 'dishes', 'choose']","[('restaurant', 'n'), ('great', 'a'), ('selection', 'n'), ('dishes', 'n'), ('choose', 'v')]",  restaurant great selection dish choose
"The food was delicious, and the portion sizes were generous.",Positive,food delicious portion sizes generous,"['food', 'delicious', 'portion', 'sizes', 'generous']","[('food', 'n'), ('delicious', 'a'), ('portion', 'n'), ('sizes', 'v'), ('generous', 'a')]",  food delicious portion size generous
"The restaurant provided updates on the status of our order, which was very helpful.",Positive,restaurant provided updates status order helpful,"['restaurant', 'provided', 'updates', 'status', 'order', 'helpful']","[('restaurant', 'n'), ('provided', 'v'), ('updates', 'n'), ('status', 'n'), ('order', 'n'), ('helpful', 'n')]",  restaurant provide update status order helpful
"The food was delivered promptly, and the packaging kept everything in great condition.",Positive,food delivered promptly packaging kept everything great condition,"['food', 'delivered', 'promptly', 'packaging', 'kept', 'everything', 'great', 'condition']","[('food', 'n'), ('delivered', 'v'), ('promptly', 'r'), ('packaging', 'v'), ('kept', 'v'), ('everything', 'n'), ('great', 'a'), ('condition', 'n')]",  food deliver promptly package keep everything great condition
The restaurant had a great system for customizing orders to our preferences.,Positive,restaurant great system customizing orders preferences,"['restaurant', 'great', 'system', 'customizing', 'orders', 'preferences']","[('restaurant', 'n'), ('great', 'a'), ('system', 'n'), ('customizing', 'v'), ('orders', 'n'), ('preferences', 'n')]",  restaurant great system customize order preference
The food was well-prepared and tasted just like it would in the restaurant.,Positive,food well prepared tasted like would restaurant,"['food', 'well', 'prepared', 'tasted', 'like', 'would', 'restaurant']","[('food', 'n'), ('well', 'r'), ('prepared', 'a'), ('tasted', 'v'), ('like', None), ('would', None), ('restaurant', 'v')]",  food well prepared taste like would restaurant
"The restaurant provided plenty of options for dietary restrictions, which was greatly appreciated.",Positive,restaurant provided plenty options dietary restrictions greatly appreciated,"['restaurant', 'provided', 'plenty', 'options', 'dietary', 'restrictions', 'greatly', 'appreciated']","[('restaurant', 'n'), ('provided', 'v'), ('plenty', 'n'), ('options', 'n'), ('dietary', 'a'), ('restrictions', 'n'), ('greatly', 'r'), ('appreciated', 'v')]",  restaurant provide plenty option dietary restriction greatly appreciate
"The ordering process was straightforward, and we received our food on time.",Positive,ordering process straightforward received food time,"['ordering', 'process', 'straightforward', 'received', 'food', 'time']","[('ordering', 'v'), ('process', 'n'), ('straightforward', 'r'), ('received', 'v'), ('food', 'n'), ('time', 'n')]",  order process straightforward receive food time
"The restaurant's website was easy to navigate, and it had all the information we needed.",Positive,restaurant website easy navigate information needed,"['restaurant', 'website', 'easy', 'navigate', 'information', 'needed']","[('restaurant', 'n'), ('website', 'n'), ('easy', 'a'), ('navigate', 'a'), ('information', 'n'), ('needed', 'v')]",  restaurant website easy navigate information need
The food was flavorful and exceeded our expectations.,Positive,food flavorful exceeded expectations,"['food', 'flavorful', 'exceeded', 'expectations']","[('food', 'n'), ('flavorful', 'n'), ('exceeded', 'v'), ('expectations', 'n')]",  food flavorful exceed expectation
The delivery driver was courteous and arrived within the estimated time frame.,Positive,delivery driver courteous arrived within estimated time frame,"['delivery', 'driver', 'courteous', 'arrived', 'within', 'estimated', 'time', 'frame']","[('delivery', 'n'), ('driver', 'r'), ('courteous', 'a'), ('arrived', 'v'), ('within', None), ('estimated', 'v'), ('time', 'n'), ('frame', 'n')]",  delivery driver courteous arrive within estimate time frame
The restaurant had great deals and discounts available for online orders.,Positive,restaurant great deals discounts available online orders,"['restaurant', 'great', 'deals', 'discounts', 'available', 'online', 'orders']","[('restaurant', 'n'), ('great', 'a'), ('deals', 'n'), ('discounts', 'n'), ('available', 'a'), ('online', 'a'), ('orders', 'n')]",  restaurant great deal discount available online order
"The food was packaged well, and everything arrived intact.",Positive,food packaged well everything arrived intact,"['food', 'packaged', 'well', 'everything', 'arrived', 'intact']","[('food', 'n'), ('packaged', 'v'), ('well', 'r'), ('everything', 'n'), ('arrived', 'v'), ('intact', 'a')]",  food package well everything arrive intact
The restaurant had a great selection of sides and appetizers to complement our main dishes.,Positive,restaurant great selection sides appetizers complement main dishes,"['restaurant', 'great', 'selection', 'sides', 'appetizers', 'complement', 'main', 'dishes']","[('restaurant', 'n'), ('great', 'a'), ('selection', 'n'), ('sides', 'n'), ('appetizers', 'n'), ('complement', 'v'), ('main', 'a'), ('dishes', 'n')]",  restaurant great selection side appetizer complement main dish
"The food was delivered with all necessary utensils and condiments, which was a nice touch.",Positive,food delivered necessary utensils condiments nice touch,"['food', 'delivered', 'necessary', 'utensils', 'condiments', 'nice', 'touch']","[('food', 'n'), ('delivered', 'v'), ('necessary', 'a'), ('utensils', 'a'), ('condiments', 'n'), ('nice', 'a'), ('touch', 'n')]",  food deliver necessary utensils condiment nice touch
"The ordering process was fast and efficient, and the restaurant had a secure payment system.",Positive,ordering process fast efficient restaurant secure payment system,"['ordering', 'process', 'fast', 'efficient', 'restaurant', 'secure', 'payment', 'system']","[('ordering', 'v'), ('process', 'n'), ('fast', 'r'), ('efficient', 'a'), ('restaurant', 'n'), ('secure', 'n'), ('payment', 'n'), ('system', 'n')]",  order process fast efficient restaurant secure payment system
The restaurant's menu was easy to read and included helpful descriptions of each dish.,Positive,restaurant menu easy read included helpful descriptions dish,"['restaurant', 'menu', 'easy', 'read', 'included', 'helpful', 'descriptions', 'dish']","[('restaurant', 'n'), ('menu', 'n'), ('easy', 'a'), ('read', 'n'), ('included', 'v'), ('helpful', 'a'), ('descriptions', 'n'), ('dish', 'v')]",  restaurant menu easy read include helpful description dish
The food was prepared with care and attention to detail.,Positive,food prepared care attention detail,"['food', 'prepared', 'care', 'attention', 'detail']","[('food', 'n'), ('prepared', 'v'), ('care', 'n'), ('attention', 'n'), ('detail', 'n')]",  food prepare care attention detail
"The restaurant's customer service was excellent, and they were very responsive to our questions and concerns.",Positive,restaurant customer service excellent responsive questions concerns,"['restaurant', 'customer', 'service', 'excellent', 'responsive', 'questions', 'concerns']","[('restaurant', 'n'), ('customer', 'n'), ('service', 'n'), ('excellent', 'a'), ('responsive', 'a'), ('questions', 'n'), ('concerns', 'n')]",  restaurant customer service excellent responsive question concern
"The delivery driver followed our special instructions perfectly, which made our meal even better.",Positive,delivery driver followed special instructions perfectly made meal even better,"['delivery', 'driver', 'followed', 'special', 'instructions', 'perfectly', 'made', 'meal', 'even', 'better']","[('delivery', 'n'), ('driver', 'n'), ('followed', 'v'), ('special', 'a'), ('instructions', 'n'), ('perfectly', 'r'), ('made', 'v'), ('meal', 'n'), ('even', 'r'), ('better', 'r')]",  delivery driver follow special instruction perfectly make meal even well
"The food arrived hot and ready to eat, and it tasted even better than we had hoped.",Positive,food arrived hot ready eat tasted even better hoped,"['food', 'arrived', 'hot', 'ready', 'eat', 'tasted', 'even', 'better', 'hoped']","[('food', 'n'), ('arrived', 'v'), ('hot', 'a'), ('ready', 'a'), ('eat', 'n'), ('tasted', 'v'), ('even', 'r'), ('better', 'r'), ('hoped', 'v')]",  food arrive hot ready eat taste even well hop
"The restaurant had a great selection of desserts, and they were all delicious.",Positive,restaurant great selection desserts delicious,"['restaurant', 'great', 'selection', 'desserts', 'delicious']","[('restaurant', 'n'), ('great', 'a'), ('selection', 'n'), ('desserts', 'n'), ('delicious', 'a')]",  restaurant great selection dessert delicious
"The online ordering process was a breeze, and we had no issues whatsoever.",Positive,online ordering process breeze issues whatsoever,"['online', 'ordering', 'process', 'breeze', 'issues', 'whatsoever']","[('online', 'a'), ('ordering', 'v'), ('process', 'n'), ('breeze', 'n'), ('issues', 'n'), ('whatsoever', None)]",  online order process breeze issue whatsoever
"The food was perfectly cooked and seasoned, and it was obvious that the chef put a lot of effort into the dish.",Positive,food perfectly cooked seasoned obvious chef put lot effort dish,"['food', 'perfectly', 'cooked', 'seasoned', 'obvious', 'chef', 'put', 'lot', 'effort', 'dish']","[('food', 'n'), ('perfectly', 'r'), ('cooked', 'v'), ('seasoned', 'a'), ('obvious', 'a'), ('chef', 'n'), ('put', 'v'), ('lot', 'n'), ('effort', 'n'), ('dish', 'n')]",  food perfectly cook seasoned obvious chef put lot effort dish
The restaurant had a great loyalty program that rewarded customers for their orders.,Positive,restaurant great loyalty program rewarded customers orders,"['restaurant', 'great', 'loyalty', 'program', 'rewarded', 'customers', 'orders']","[('restaurant', 'n'), ('great', 'a'), ('loyalty', 'n'), ('program', 'n'), ('rewarded', 'v'), ('customers', 'n'), ('orders', 'n')]",  restaurant great loyalty program reward customer order
"The delivery driver was prompt and friendly, and he even offered to help carry our food inside.",Positive,delivery driver prompt friendly even offered help carry food inside,"['delivery', 'driver', 'prompt', 'friendly', 'even', 'offered', 'help', 'carry', 'food', 'inside']","[('delivery', 'n'), ('driver', 'n'), ('prompt', 'n'), ('friendly', 'r'), ('even', 'r'), ('offered', 'v'), ('help', 'n'), ('carry', 'v'), ('food', 'n'), ('inside', None)]",  delivery driver prompt friendly even offer help carry food inside
The food was made with high-quality ingredients and was a great value for the price.,Positive,food made high quality ingredients great value price,"['food', 'made', 'high', 'quality', 'ingredients', 'great', 'value', 'price']","[('food', 'n'), ('made', 'v'), ('high', 'a'), ('quality', 'n'), ('ingredients', 'n'), ('great', 'a'), ('value', 'n'), ('price', 'n')]",  food make high quality ingredient great value price
The restaurant had a great system for tracking our order and providing updates on its status.,Positive,restaurant great system tracking order providing updates status,"['restaurant', 'great', 'system', 'tracking', 'order', 'providing', 'updates', 'status']","[('restaurant', 'n'), ('great', 'a'), ('system', 'n'), ('tracking', 'v'), ('order', 'n'), ('providing', 'v'), ('updates', 'n'), ('status', 'n')]",  restaurant great system track order provide update status
The online ordering process was convenient and saved us a lot of time.,Positive,online ordering process convenient saved us lot time,"['online', 'ordering', 'process', 'convenient', 'saved', 'us', 'lot', 'time']","[('online', 'a'), ('ordering', 'v'), ('process', 'n'), ('convenient', 'n'), ('saved', 'v'), ('us', None), ('lot', 'n'), ('time', 'n')]",  online order process convenient save us lot time
"The food was seasoned and cooked to perfection, and we couldn't have asked for more.",Positive,food seasoned cooked perfection asked,"['food', 'seasoned', 'cooked', 'perfection', 'asked']","[('food', 'n'), ('seasoned', 'v'), ('cooked', 'a'), ('perfection', 'n'), ('asked', 'v')]",  food season cooked perfection ask
